2021-11-22 10:02:10,801 - Using cpu
2021-11-22 10:02:10,814 - Loading all data to memory...
2021-11-22 10:02:16,567 - Save all features data into /home/huynhhao/Desktop/hum/data/cached_features/train
2021-11-22 10:29:28,021 - Using cpu
2021-11-22 10:29:28,030 - Loading all data to memory...
2021-11-22 13:03:23,329 - Key conflicting at 1079417446_{i}_hum, ignore new sample
2021-11-22 13:03:23,906 - Key conflicting at 1078026638_{i}_hum, ignore new sample
2021-11-22 13:03:23,906 - Key conflicting at 1078026638_{i}_hum, ignore new sample
2021-11-22 13:03:23,906 - Key conflicting at 1078026638_{i}_hum, ignore new sample
2021-11-22 13:03:23,906 - Key conflicting at 1078026638_{i}_hum, ignore new sample
2021-11-22 13:03:23,906 - Key conflicting at 1078026638_{i}_hum, ignore new sample
2021-11-22 13:03:23,906 - Key conflicting at 1078026638_{i}_hum, ignore new sample
2021-11-22 13:03:23,906 - Key conflicting at 1078026638_{i}_hum, ignore new sample
2021-11-22 13:03:23,906 - Key conflicting at 1078026638_{i}_hum, ignore new sample
2021-11-22 13:03:34,375 - Using cpu
2021-11-22 13:03:34,385 - Loading all data to memory...
2021-11-22 13:03:58,284 - Key Conflicting at 1078187637_0_song, ignore new sample
2021-11-22 13:03:58,284 - Key conflicting at 1078187637_0_hum, ignore new sample
2021-11-22 13:03:58,284 - Key Conflicting at 1078187637_1_song, ignore new sample
2021-11-22 13:03:58,284 - Key conflicting at 1078187637_1_hum, ignore new sample
2021-11-22 13:03:58,284 - Key Conflicting at 1078187637_2_song, ignore new sample
2021-11-22 13:03:58,284 - Key conflicting at 1078187637_2_hum, ignore new sample
2021-11-22 13:03:58,285 - Key Conflicting at 1078187637_3_song, ignore new sample
2021-11-22 13:03:58,285 - Key conflicting at 1078187637_3_hum, ignore new sample
2021-11-22 13:03:58,285 - Key Conflicting at 1078187637_4_song, ignore new sample
2021-11-22 13:03:58,285 - Key conflicting at 1078187637_4_hum, ignore new sample
2021-11-22 13:03:58,285 - Key Conflicting at 1078187637_5_song, ignore new sample
2021-11-22 13:03:58,285 - Key conflicting at 1078187637_5_hum, ignore new sample
2021-11-22 13:03:58,285 - Key Conflicting at 1078187637_6_song, ignore new sample
2021-11-22 13:03:58,285 - Key conflicting at 1078187637_6_hum, ignore new sample
2021-11-22 13:03:58,285 - Key Conflicting at 1078187637_7_song, ignore new sample
2021-11-22 13:03:58,285 - Key conflicting at 1078187637_7_hum, ignore new sample
2021-11-22 13:03:58,285 - Key Conflicting at 1078187637_8_song, ignore new sample
2021-11-22 13:03:58,285 - Key conflicting at 1078187637_8_hum, ignore new sample
2021-11-22 13:03:59,451 - Key Conflicting at 1076248660_0_song, ignore new sample
2021-11-22 13:03:59,451 - Key conflicting at 1076248660_0_hum, ignore new sample
2021-11-22 13:03:59,451 - Key Conflicting at 1076248660_1_song, ignore new sample
2021-11-22 13:03:59,451 - Key conflicting at 1076248660_1_hum, ignore new sample
2021-11-22 13:03:59,451 - Key Conflicting at 1076248660_2_song, ignore new sample
2021-11-22 13:03:59,451 - Key conflicting at 1076248660_2_hum, ignore new sample
2021-11-22 13:03:59,451 - Key Conflicting at 1076248660_3_song, ignore new sample
2021-11-22 13:03:59,452 - Key conflicting at 1076248660_3_hum, ignore new sample
2021-11-22 13:03:59,452 - Key Conflicting at 1076248660_4_song, ignore new sample
2021-11-22 13:03:59,452 - Key conflicting at 1076248660_4_hum, ignore new sample
2021-11-22 13:03:59,452 - Key Conflicting at 1076248660_5_song, ignore new sample
2021-11-22 13:03:59,452 - Key conflicting at 1076248660_5_hum, ignore new sample
2021-11-22 13:03:59,452 - Key Conflicting at 1076248660_6_song, ignore new sample
2021-11-22 13:03:59,452 - Key conflicting at 1076248660_6_hum, ignore new sample
2021-11-22 13:03:59,452 - Key Conflicting at 1076248660_7_song, ignore new sample
2021-11-22 13:03:59,452 - Key conflicting at 1076248660_7_hum, ignore new sample
2021-11-22 13:03:59,452 - Key Conflicting at 1076248660_8_song, ignore new sample
2021-11-22 13:03:59,452 - Key conflicting at 1076248660_8_hum, ignore new sample
2021-11-22 13:04:33,839 - Key Conflicting at 1075369860_0_song, ignore new sample
2021-11-22 13:04:33,840 - Key conflicting at 1075369860_0_hum, ignore new sample
2021-11-22 13:04:33,840 - Key Conflicting at 1075369860_1_song, ignore new sample
2021-11-22 13:04:33,840 - Key conflicting at 1075369860_1_hum, ignore new sample
2021-11-22 13:04:33,840 - Key Conflicting at 1075369860_2_song, ignore new sample
2021-11-22 13:04:33,840 - Key conflicting at 1075369860_2_hum, ignore new sample
2021-11-22 13:04:33,840 - Key Conflicting at 1075369860_3_song, ignore new sample
2021-11-22 13:04:33,840 - Key conflicting at 1075369860_3_hum, ignore new sample
2021-11-22 13:04:33,840 - Key Conflicting at 1075369860_4_song, ignore new sample
2021-11-22 13:04:33,840 - Key conflicting at 1075369860_4_hum, ignore new sample
2021-11-22 13:04:33,840 - Key Conflicting at 1075369860_5_song, ignore new sample
2021-11-22 13:04:33,840 - Key conflicting at 1075369860_5_hum, ignore new sample
2021-11-22 13:04:33,840 - Key Conflicting at 1075369860_6_song, ignore new sample
2021-11-22 13:04:33,840 - Key conflicting at 1075369860_6_hum, ignore new sample
2021-11-22 13:04:33,840 - Key Conflicting at 1075369860_7_song, ignore new sample
2021-11-22 13:04:33,840 - Key conflicting at 1075369860_7_hum, ignore new sample
2021-11-22 13:04:33,840 - Key Conflicting at 1075369860_8_song, ignore new sample
2021-11-22 13:04:33,840 - Key conflicting at 1075369860_8_hum, ignore new sample
2021-11-22 13:04:43,898 - Key Conflicting at 1076304285_0_song, ignore new sample
2021-11-22 13:04:43,898 - Key conflicting at 1076304285_0_hum, ignore new sample
2021-11-22 13:04:43,898 - Key Conflicting at 1076304285_1_song, ignore new sample
2021-11-22 13:04:43,898 - Key conflicting at 1076304285_1_hum, ignore new sample
2021-11-22 13:04:43,899 - Key Conflicting at 1076304285_2_song, ignore new sample
2021-11-22 13:04:43,899 - Key conflicting at 1076304285_2_hum, ignore new sample
2021-11-22 13:04:43,899 - Key Conflicting at 1076304285_3_song, ignore new sample
2021-11-22 13:04:43,899 - Key conflicting at 1076304285_3_hum, ignore new sample
2021-11-22 13:04:43,899 - Key Conflicting at 1076304285_4_song, ignore new sample
2021-11-22 13:04:43,899 - Key conflicting at 1076304285_4_hum, ignore new sample
2021-11-22 13:04:43,899 - Key Conflicting at 1076304285_5_song, ignore new sample
2021-11-22 13:04:43,899 - Key conflicting at 1076304285_5_hum, ignore new sample
2021-11-22 13:04:43,899 - Key Conflicting at 1076304285_6_song, ignore new sample
2021-11-22 13:04:43,899 - Key conflicting at 1076304285_6_hum, ignore new sample
2021-11-22 13:04:43,899 - Key Conflicting at 1076304285_7_song, ignore new sample
2021-11-22 13:04:43,899 - Key conflicting at 1076304285_7_hum, ignore new sample
2021-11-22 13:04:43,899 - Key Conflicting at 1076304285_8_song, ignore new sample
2021-11-22 13:04:43,899 - Key conflicting at 1076304285_8_hum, ignore new sample
2021-11-22 13:04:52,180 - Key Conflicting at 1073802930_0_song, ignore new sample
2021-11-22 13:04:52,180 - Key conflicting at 1073802930_0_hum, ignore new sample
2021-11-22 13:04:52,180 - Key Conflicting at 1073802930_1_song, ignore new sample
2021-11-22 13:04:52,180 - Key conflicting at 1073802930_1_hum, ignore new sample
2021-11-22 13:04:52,180 - Key Conflicting at 1073802930_2_song, ignore new sample
2021-11-22 13:04:52,180 - Key conflicting at 1073802930_2_hum, ignore new sample
2021-11-22 13:04:52,180 - Key Conflicting at 1073802930_3_song, ignore new sample
2021-11-22 13:04:52,180 - Key conflicting at 1073802930_3_hum, ignore new sample
2021-11-22 13:04:52,180 - Key Conflicting at 1073802930_4_song, ignore new sample
2021-11-22 13:04:52,180 - Key conflicting at 1073802930_4_hum, ignore new sample
2021-11-22 13:04:52,181 - Key Conflicting at 1073802930_5_song, ignore new sample
2021-11-22 13:04:52,181 - Key conflicting at 1073802930_5_hum, ignore new sample
2021-11-22 13:04:52,181 - Key Conflicting at 1073802930_6_song, ignore new sample
2021-11-22 13:04:52,181 - Key conflicting at 1073802930_6_hum, ignore new sample
2021-11-22 13:04:52,181 - Key Conflicting at 1073802930_7_song, ignore new sample
2021-11-22 13:04:52,181 - Key conflicting at 1073802930_7_hum, ignore new sample
2021-11-22 13:04:52,181 - Key Conflicting at 1073802930_8_song, ignore new sample
2021-11-22 13:04:52,181 - Key conflicting at 1073802930_8_hum, ignore new sample
2021-11-22 13:05:01,282 - Key Conflicting at 1078088755_0_song, ignore new sample
2021-11-22 13:05:01,282 - Key conflicting at 1078088755_0_hum, ignore new sample
2021-11-22 13:05:01,282 - Key Conflicting at 1078088755_1_song, ignore new sample
2021-11-22 13:05:01,282 - Key conflicting at 1078088755_1_hum, ignore new sample
2021-11-22 13:05:01,282 - Key Conflicting at 1078088755_2_song, ignore new sample
2021-11-22 13:05:01,282 - Key conflicting at 1078088755_2_hum, ignore new sample
2021-11-22 13:05:01,282 - Key Conflicting at 1078088755_3_song, ignore new sample
2021-11-22 13:05:01,282 - Key conflicting at 1078088755_3_hum, ignore new sample
2021-11-22 13:05:01,282 - Key Conflicting at 1078088755_4_song, ignore new sample
2021-11-22 13:05:01,282 - Key conflicting at 1078088755_4_hum, ignore new sample
2021-11-22 13:05:01,282 - Key Conflicting at 1078088755_5_song, ignore new sample
2021-11-22 13:05:01,282 - Key conflicting at 1078088755_5_hum, ignore new sample
2021-11-22 13:05:01,282 - Key Conflicting at 1078088755_6_song, ignore new sample
2021-11-22 13:05:01,282 - Key conflicting at 1078088755_6_hum, ignore new sample
2021-11-22 13:05:01,283 - Key Conflicting at 1078088755_7_song, ignore new sample
2021-11-22 13:05:01,283 - Key conflicting at 1078088755_7_hum, ignore new sample
2021-11-22 13:05:01,283 - Key Conflicting at 1078088755_8_song, ignore new sample
2021-11-22 13:05:01,283 - Key conflicting at 1078088755_8_hum, ignore new sample
2021-11-22 13:26:16,051 - Using cpu
2021-11-22 13:26:16,060 - Loading all data to memory...
2021-11-22 14:01:24,975 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train
2021-11-22 14:09:46,396 - Using cpu
2021-11-22 14:09:46,405 - Loading all data to memory...
2021-11-22 14:10:11,422 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:11,473 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:11,534 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:11,831 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:11,923 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:12,171 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:12,330 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:12,563 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:12,715 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:14,195 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:14,418 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:14,745 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:14,923 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:15,089 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:15,286 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:15,495 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:15,689 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
2021-11-22 14:10:15,881 - Saving all features data into /home/huynhhao/Desktop/hum/data/cached_features/train/train_spectrogram.pt
